Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1742306768.330856,13,1742306768,328789088,gps,0,1,-19.869507506666665,-43.96415030666667,807.9860229492188,53.29000278472904,0.0,0.0,0.0,37.31988351683049,0.0,0.0,0.0,417.2623308701477,1
1742306769.3384693,14,1742306769,330696241,gps,0,1,-19.869507828333333,-43.964150321666665,807.97802734375,53.29000278472904,0.0,0.0,0.0,37.33210163154604,0.0,0.0,0.0,417.3849124694825,1
1742306770.34156,15,1742306770,338658756,gps,0,1,-19.86950918666667,-43.96414889,807.947998046875,53.29000278472904,0.0,0.0,0.0,37.33210163154604,0.0,0.0,0.0,417.5483566235962,1
1742306771.3451319,16,1742306771,341506911,gps,0,1,-19.869511205,-43.96414728166666,807.9130249023438,53.29000278472904,0.0,0.0,0.0,37.33210163154604,0.0,0.0,0.0,417.67098022637947,1
1742306772.3489258,17,1742306772,344817689,gps,0,1,-19.86951296333333,-43.964145314999996,807.9130249023438,53.29000278472904,0.0,0.0,0.0,37.33210163154604,0.0,0.0,0.0,417.7936218322757,1
1742306773.3590932,18,1742306773,348661183,gps,0,1,-19.869513878333333,-43.96414378333334,807.8619995117188,53.29000278472904,0.0,0.0,0.0,37.34432174597168,0.0,0.0,0.0,417.95714598242193,1
1742306774.3658965,19,1742306774,360777709,gps,0,1,-19.869513961666666,-43.96414347500001,807.7670288085938,53.29000278472904,0.0,0.0,0.0,37.34432174597168,0.0,0.0,0.0,418.0798295917666,1
1742306775.3701048,20,1742306775,364900415,gps,0,1,-19.86951379166667,-43.964143283333335,807.6439819335938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1742306776.3714118,21,1742306776,368521538,gps,0,1,-19.86951368333333,-43.964143140000004,807.5800170898438,53.29000278472904,0.0,0.0,0.0,37.34432174597168,0.0,0.0,0.0,418.4070218788147,1
1742306777.374579,22,1742306777,371188170,gps,0,1,-19.869514331666668,-43.96414293666667,807.593017578125,53.29000278472904,0.0,0.0,0.0,37.35654386010742,0.0,0.0,0.0,418.5297714919434,1
